Plan,City,State,Zip_code,County,ISP,Network_ tech,Municipal_network,Download_speed_Mbps,Upload_speed_Mbps,Cost_per_download Mbps,Data_cap_GB,Data_overage_penalty_per_50GB,Price,Term _months,Autopay_/_paperless_discount,Activation_fee,Installation_fee,Self_install_ fee,Router_rental_monthly,Modem_rental_monthly,Ttl_rental_costs,router_purchase_cost,Modem_purchase_cost,Ttl_purch_costs,requirement_months,Termination_fee,Address_used
"Fort Collins, xfinity, 1000B",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,1000,,6.25,,,159.95,24,,,,15,,13,13,,,0,24,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 1000C",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,1000,,6.25,,,159.95,12,,,,15,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 15A",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,15,,0.3,,,49.95,12,,,,15,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 15B",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,15,,0.3,,,49.95,12,,,,15,,13,13,,,0,1,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 175A",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,175,,2.14,,,81.95,12,,,,15,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 175B",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,175,,2.14,,,81.95,12,,,,15,,13,13,,,0,1,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 2000",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,2000,,6.67,,,299.95,,,,,,,13,13,,,0,24,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 275A",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,275,,2.84,,,96.95,12,,,,15,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 275B",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,275,,2.84,,,96.95,12,,,,15,,13,13,,,0,1,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 500A",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,500,,4.17,,,119.95,24,,,,0,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 500B",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,500,,4.47,,,111.95,12,,,,15,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 500C",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,500,,4.2,,,118.95,1,,,,15,,13,13,,,0,1,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 75A",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,75,,1.12,,,66.95,12,,,,15,,13,13,,,0,12,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Fort Collins, xfinity, 75B",Fort Collins, CO,80526,Larimer,Comcast,Cable,No,75,,1.15,,,64.95,12,,,,15,,13,13,,,0,1,,"2700 Chaparral Dr
Fort Collins, CO 80526"
"Kansas City KS, AT&T, .786",Kansas City, KS,66104,Wyandotte,AT&T Internet,ADSL,No,0.768,0.384,0.02,1000,10,50,12,,35,99,0,,,0,,,0,,180,2428 Stewart Ave
"Kansas City KS, AT&T, 1.5",Kansas City, KS,66102,Wyandotte,AT&T Internet,ADSL,No,1.5,1,0.03,1000,10,50,12,,35,99,0,,,0,,,0,12,180,108 S 16th St
"Kansas City KS, AT&T, 100",Kansas City, KS,66112,Wyandotte,AT&T Internet,ADSL,No,100,20,1.67,1000,10,60,12,,35,99,0,,,0,,,0,12,180,7445 Riverview Ave
"Kansas City KS, AT&T, 25",Kansas City, KS,66102,Wyandotte,AT&T Internet,ADSL,No,25,5,0.42,1000,10,60,12,,35,99,0,,,0,,,0,12,180,70 S 24th St
"Kansas City KS, AT&T, 5",Kansas City, KS,66112,Wyandotte,AT&T Internet,ADSL,No,5,1,0.1,1000,10,50,12,,35,99,0,,,0,,,0,12,180,7445 Riverview Ave
