Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Butte County, South Dakota",34528.0,31596.0,35136.0
"Butts County, Georgia",36972.0,34800.0,60612.0
"Cabarrus County, North Carolina",41600.0,39432.0,35604.0
"Cabell County, West Virginia",44252.0,41232.0,38808.0
"Cabo Rojo Municipio, Puerto Rico",14976.0,15744.0,21432.0
"Cache County, Utah",38740.0,36048.0,35268.0
"Caddo County, Oklahoma",40768.0,38040.0,36288.0
"Caddo Parish, Louisiana",43888.0,42180.0,38424.0
"Caguas Municipio, Puerto Rico",27092.0,24852.0,18456.0
"Calaveras County, California",35568.0,38484.0,37140.0
"Calcasieu Parish, Louisiana",53924.0,48132.0,42492.0
"Caldwell County, Kentucky",36504.0,32832.0,32232.0
"Caldwell County, Missouri",33176.0,30732.0,30444.0
"Caldwell County, North Carolina",45292.0,37260.0,37920.0
"Caldwell County, Texas",36556.0,35508.0,38472.0
"Caldwell Parish, Louisiana",34632.0,32268.0,42384.0
"Caledonia County, Vermont",42120.0,39660.0,39000.0
"Calhoun County, Alabama",37908.0,38196.0,36612.0
"Calhoun County, Arkansas",65572.0,53940.0,50868.0
"Calhoun County, Florida",32604.0,30960.0,43824.0
"Calhoun County, Georgia",32812.0,29928.0,32280.0
"Calhoun County, Illinois",26728.0,25908.0,34044.0
"Calhoun County, Iowa",36972.0,34776.0,32772.0
"Calhoun County, Michigan",58604.0,48552.0,41820.0
"Calhoun County, Mississippi",32292.0,29184.0,32004.0
"Calhoun County, South Carolina",48828.0,42468.0,44844.0
"Calhoun County, Texas",76388.0,64068.0,43128.0
"Calhoun County, West Virginia",40768.0,40176.0,39240.0
California,76076.0,65856.0,63216.0
"Callahan County, Texas",43212.0,38688.0,54732.0
"Callaway County, Missouri",52416.0,41532.0,33144.0
"Calloway County, Kentucky",35256.0,33648.0,31716.0
"Calumet County, Wisconsin",41600.0,37116.0,32328.0
"Calvert County, Maryland",51792.0,45912.0,50796.0
"Camas County, Idaho",57980.0,45516.0,76560.0
"Cambria County, Pennsylvania",39364.0,37608.0,44700.0
"Camden County, Georgia",41080.0,41220.0,32076.0
"Camden County, Missouri",34372.0,32076.0,36384.0
"Camden County, New Jersey",56160.0,51780.0,52044.0
"Camden County, North Carolina",40248.0,33564.0,34524.0
"Cameron County, Pennsylvania",39364.0,36504.0,36540.0
"Cameron County, Texas",30888.0,32016.0,37656.0
"Cameron Parish, Louisiana",100568.0,83040.0,45576.0
"Camp County, Texas",41652.0,36876.0,32700.0
"Campbell County, Kentucky",44148.0,40980.0,35376.0
"Campbell County, South Dakota",36244.0,33660.0,31236.0
"Campbell County, Tennessee",35568.0,32532.0,37176.0
"Campbell County, Virginia",54756.0,44436.0,37776.0
"Campbell County, Wyoming",59956.0,54876.0,41880.0
"Camuy Municipio, Puerto Rico",16796.0,18312.0,22728.0
"Canadian County, Oklahoma",43680.0,42228.0,38712.0
"Candler County, Georgia",28600.0,26844.0,36864.0
"Cannon County, Tennessee",35464.0,32856.0,30960.0
"Canyon County, Idaho",38584.0,34956.0,44856.0
"Can¢vanas Municipio, Puerto Rico",24700.0,22260.0,19752.0
"Cape Girardeau County, Missouri",42328.0,38268.0,32292.0
"Cape May County, New Jersey",37336.0,36372.0,46644.0
"Carbon County, Montana",32552.0,32532.0,33192.0
"Carbon County, Pennsylvania",35568.0,34524.0,35868.0
"Carbon County, Utah",50596.0,40020.0,35940.0
"Carbon County, Wyoming",57720.0,46092.0,52104.0
"Caribou County, Idaho",59280.0,50640.0,38592.0
"Carlisle County, Kentucky",35256.0,31824.0,37416.0
"Carlton County, Minnesota",46332.0,42012.0,39348.0
"Carolina Municipio, Puerto Rico",26312.0,24240.0,23460.0
"Caroline County, Maryland",44460.0,40224.0,44484.0
"Caroline County, Virginia",36608.0,36252.0,41244.0
"Carroll County, Arkansas",31512.0,29064.0,28032.0
"Carroll County, Georgia",46124.0,40608.0,30768.0
"Carroll County, Illinois",37336.0,36456.0,26220.0
"Carroll County, Indiana",40300.0,35484.0,27168.0
"Carroll County, Iowa",40716.0,37044.0,35988.0
"Carroll County, Kentucky",64480.0,54408.0,35904.0
"Carroll County, Maryland",44928.0,41364.0,38868.0
"Carroll County, Mississippi",31304.0,29604.0,27840.0
"Carroll County, Missouri",39000.0,35124.0,35712.0
"Carroll County, New Hampshire",37648.0,35316.0,39216.0
"Carroll County, Ohio",39104.0,36252.0,41700.0
"Carroll County, Tennessee",31668.0,32964.0,32928.0
"Carroll County, Virginia",29536.0,29592.0,34020.0
"Carson City, Nevada",48932.0,48204.0,50532.0
"Carson County, Texas",98384.0,79140.0,47976.0
"Carter County, Kentucky",34216.0,30768.0,45432.0
"Carter County, Missouri",24232.0,25080.0,29376.0
"Carter County, Montana",35256.0,32244.0,32064.0
"Carter County, Oklahoma",45344.0,40560.0,42708.0
"Carter County, Tennessee",36556.0,33456.0,33108.0
"Carteret County, North Carolina",34320.0,33492.0,33432.0
"Carver County, Minnesota",58864.0,51432.0,43716.0
"Cascade County, Montana",42224.0,39456.0,32232.0
"Casey County, Kentucky",32864.0,29148.0,29976.0
"Cass County, Illinois",41704.0,35376.0,32748.0
"Cass County, Indiana",36972.0,35064.0,34548.0
"Cass County, Iowa",36088.0,35592.0,35520.0
"Cass County, Michigan",41340.0,38460.0,44352.0
"Cass County, Minnesota",29380.0,30420.0,44556.0
"Cass County, Missouri",36244.0,34392.0,27132.0
"Cass County, Nebraska",43732.0,36504.0,35940.0
"Cass County, North Dakota",52988.0,48360.0,47508.0
"Cass County, Texas",38740.0,34956.0,63252.0
"Cassia County, Idaho",38844.0,34956.0,45480.0
"Castro County, Texas",38532.0,34908.0,34092.0
"Caswell County, North Carolina",35932.0,34056.0,31356.0
"Catahoula Parish, Louisiana",29744.0,29748.0,69120.0
"Catawba County, North Carolina",43836.0,40824.0,34968.0
"Cata¤o Municipio, Puerto Rico",31720.0,28836.0,25524.0
"Catoosa County, Georgia",35724.0,32724.0,37632.0
"Catron County, New Mexico",23868.0,28596.0,39096.0
"Cattaraugus County, New York",38532.0,37536.0,39996.0
"Cavalier County, North Dakota",40040.0,39432.0,43956.0
"Cayey Municipio, Puerto Rico",25324.0,25044.0,28200.0
